hola	cómo,qué,buenos
gracias	muchas,por,igualmente
cómo	estás,está,va
qué	tal,bien,bueno
buenos	días,tardes
buenas	noches,tardes
yo	quiero,soy,tengo
muy	bien,bueno,mucho
muchas	gracias
por	favor,qué,la
estoy	bien,aquí
