hallo	wie,zusammen
danke	schön,vielmals,dir
guten	morgen,tag,abend
wie	geht,ist,gehts
geht	es,dir
ich	bin,will,muss
das	ist,war
es	ist,war
vielen	dank
bis	bald,dann
alles	gute,klar
